State,2019,2018,2017,2016,2015,5-Year total,Overdose Rate 2019,Overdose Rate 2018,Overdose Rate 2017,Overdose Rate 2016,Overdose Rate 2015,Poverty Rate 2019,Poverty Rate 2018,Poverty Rate 2017,Poverty Rate 2016,Poverty Rate 2015
Alabama,768,775,835,756,736,3870,0.015749808,0.025930469,0.027961771,0.025291115,0.024631193,16.3237939,20.06834268,20.76226802,21.59623738,21.80479713
Alaska,132,110,147,128,122,639,0.017908795,0.001806221,0.002419634,0.002112333,0.002018047,10.43770724,13.75897323,14.18331605,14.81529217,15.15143295
Arizona,1907,1670,1532,1382,1274,7765,0.027048498,0.160309945,0.148757795,0.13504125,0.125554475,14.80453524,13.34921074,14.00168178,14.5278784,14.84046008
Arkansas,388,444,446,401,392,2071,0.01293605,0.023310023,0.023549029,0.021315513,0.020969688,16.54547455,11.22398622,11.63353698,12.06750373,12.36328914
California,6198,5348,4868,4654,4659,25727,0.015777618,0.182972162,0.168575609,0.16392103,0.166473954,13.10917406,13.46053115,14.03398869,14.69643262,15.23374244
Colorado,1079,995,1015,942,869,4900,0.019232315,0.074053566,0.076209898,0.070960292,0.065624478,10.08623528,7.617618646,7.843988203,8.262881515,8.596882195
Connecticut,1214,1069,1072,971,800,5126,0.126821889,0.012035788,0.011964071,0.010891198,0.008984309,11.42859531,10.17955166,10.47137434,10.64826073,10.61099704
Delaware,435,401,338,282,198,1654,0.01216758,0.002043994,0.006967964,0.001431657,0.001006447,9.626262282,14.26200629,17.51678238,15.06572143,15.27940026
Florida,5268,4698,5088,4728,3228,23010,0.025203769,0.046260082,0.688903482,0.04756143,0.032787108,13.73331255,15.00596123,9.935482997,16.4141659,16.93660336
Georgia,1408,1404,1537,1394,1302,7045,0.013533455,0.186652238,0.022569929,0.189360494,0.180422371,14.69223836,10.53840662,16.56468348,10.77398725,11.05232526
Hawaii,242,213,203,191,169,1018,0.014088197,0.001829602,0.006816784,0.001648407,0.00145992,12.88057051,14.13849087,17.60311812,14.95510334,15.34070083
